iter	RMSE
0	61964.19719
1	50379.43794
2	42811.3508
3	38091.57386
4	33878.13218
5	31225.05354
6	29478.18754
7	27970.80442
8	26856.33529
9	25655.22185
10	24281.61365
11	23560.48134
12	23320.65945
13	22595.56341
14	21883.44926
15	21368.69218
16	20953.69226
17	20751.51402
18	20466.33608
19	20120.59395
20	19748.32393
21	19531.25931
22	19279.36726
23	18765.76468
24	18294.97069
25	18163.49171
26	17722.53277
27	17188.11127
28	16819.73206
29	16489.81658
30	16311.0191
31	16069.84353
32	15802.17007
33	15540.93509
34	15450.17583
35	15291.78289
36	15025.6907
37	15008.56542
38	14915.87085
39	14827.82513
40	14802.39106
41	14575.41855
42	14435.05357
43	14390.21021
44	14347.98555
45	14111.22261
46	13900.95809
47	13783.64097
48	13722.02444
49	13481.91894
50	13227.78758
51	13021.87486
52	12918.84841
53	12809.17254
54	12626.34301
55	12555.07598
56	12429.53846
57	12415.3894
58	12395.4557
59	12387.35327
60	12250.42476
61	12235.54167
62	12104.10952
63	11947.46497
64	11871.83204
65	11743.07853
66	11558.71522
67	11451.23313
68	11442.75216
69	11321.38106
