iter	Passed	Remaining
0	57	3949
1	62	2133
2	67	1516
3	74	1223
4	82	1076
5	89	949
6	94	854
7	100	780
8	105	713
9	108	649
10	112	600
11	116	564
12	121	532
13	125	501
14	131	481
15	137	463
16	142	443
17	146	423
18	150	403
19	154	386
20	157	367
21	161	351
22	169	345
23	174	334
24	184	332
25	188	319
26	193	308
27	199	299
28	203	288
29	209	279
30	213	268
31	218	259
32	228	256
33	237	251
34	242	242
35	249	235
36	253	226
37	314	265
38	321	255
39	327	245
40	332	234
41	344	229
42	354	222
43	358	211
44	365	203
45	371	193
46	379	185
47	385	176
48	392	168
49	396	158
50	402	149
51	406	140
52	411	131
53	417	123
54	423	115
55	431	107
56	436	99
57	442	91
58	446	83
59	450	75
60	455	67
61	460	59
62	464	51
63	471	44
64	478	36
65	485	29
66	490	21
67	497	14
68	502	7
69	507	0
